Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Atlanta Hawks,94.81,89.37,5.44,87.35,107.79,101.55,6.24,0.498,0.472,0.542,0.51,56,26,50.77,106,96.4,1996-1997,REG,82,,,,,,,,,,,,,,
Boston Celtics,100.59,107.92,-7.33,95.93,103.67,111.49,-7.82,0.474,0.539,0.52,0.575,15,67,47.47,106.13,128.35,1996-1997,REG,82,,,,,,,,,,,,,,
Charlotte Hornets,98.88,97.01,1.87,88.97,110.43,108.06,2.38,0.518,0.496,0.562,0.533,54,28,49.04,113.83,106.68,1996-1997,REG,82,,,,,,,,,,,,,,
Chicago Bulls,103.15,92.34,10.81,90.35,113.79,101.69,12.1,0.511,0.471,0.547,0.509,69,13,52.88,123.87,96.67,1996-1997,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,87.48,85.63,1.84,82.99,104.47,102.08,2.39,0.493,0.482,0.531,0.534,42,40,50.3,98.16,92.93,1996-1997,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,90.59,96.95,-6.37,89.41,100.6,107.83,-7.23,0.469,0.5,0.509,0.542,24,58,48.36,97.12,111.73,1996-1997,REG,82,,,,,,,,,,,,,,
Denver Nuggets,97.81,104.09,-6.28,92.79,104.01,110.77,-6.77,0.486,0.501,0.53,0.539,21,61,49.29,107.56,120.06,1996-1997,REG,82,,,,,,,,,,,,,,
Detroit Pistons,94.18,88.94,5.24,84.76,110.28,103.89,6.39,0.512,0.487,0.554,0.524,54,28,49.39,104.67,97.95,1996-1997,REG,82,,,,,,,,,,,,,,
Golden State Warriors,99.62,104.35,-4.73,92.42,106.58,111.51,-4.93,0.493,0.518,0.543,0.559,30,52,49.87,108.51,121.82,1996-1997,REG,82,,,,,,,,,,,,,,
Houston Rockets,100.59,96.11,4.48,91.69,108.74,104.12,4.62,0.52,0.481,0.56,0.516,57,25,50.96,116.34,106.63,1996-1997,REG,82,,,,,,,,,,,,,,
Indiana Pacers,95.35,94.38,0.98,89.34,105.39,104.38,1.01,0.49,0.48,0.537,0.529,39,43,51.15,105.35,104.26,1996-1997,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,97.18,99.54,-2.35,91.41,104.98,107.25,-2.27,0.482,0.499,0.524,0.547,36,46,48.78,105.11,111.04,1996-1997,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,100,95.73,4.27,91.57,107.84,103.29,4.55,0.496,0.478,0.535,0.52,56,26,50.2,113.94,105.13,1996-1997,REG,82,,,,,,,,,,,,,,
Miami Heat,94.83,89.34,5.49,88.6,106.36,100.27,6.09,0.507,0.465,0.546,0.512,61,21,50.28,106.43,95.4,1996-1997,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,95.34,97.23,-1.89,89.77,105.94,108.18,-2.25,0.496,0.501,0.541,0.545,33,49,49.89,103.77,109.77,1996-1997,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,96.12,97.6,-1.48,91.03,105.07,106.78,-1.71,0.485,0.486,0.533,0.534,40,42,48.7,109.02,109.4,1996-1997,REG,82,,,,,,,,,,,,,,
New Jersey Nets,97.24,101.81,-4.56,93.19,103.83,108.83,-5,0.456,0.503,0.499,0.546,26,56,51.76,107.2,117.6,1996-1997,REG,82,,,,,,,,,,,,,,
New York Knicks,95.35,92.23,3.12,90.6,104.24,100.49,3.75,0.501,0.463,0.546,0.516,57,25,52.7,107.6,95.16,1996-1997,REG,82,,,,,,,,,,,,,,
Orlando Magic,94.13,94.49,-0.35,88.89,104.96,105.57,-0.61,0.481,0.495,0.524,0.533,45,37,48.63,102.42,108.54,1996-1997,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,100.18,106.72,-6.54,96.18,103.58,110.45,-6.87,0.47,0.51,0.518,0.548,22,60,49.88,106.16,124.77,1996-1997,REG,82,,,,,,,,,,,,,,
Phoenix Suns,102.82,102.16,0.66,93.5,109,108.52,0.47,0.508,0.507,0.552,0.545,40,42,48.4,116.46,115.95,1996-1997,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,98.95,94.78,4.17,91.03,107.74,103.17,4.57,0.503,0.471,0.544,0.522,49,33,53.01,110.09,101,1996-1997,REG,82,,,,,,,,,,,,,,
Sacramento Kings,96.44,99.82,-3.38,91.32,104.67,108.38,-3.71,0.485,0.495,0.526,0.542,34,48,50.02,104.94,111.79,1996-1997,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,90.46,98.34,-7.88,87.49,103.14,112.11,-8.97,0.472,0.514,0.512,0.554,20,62,49.09,98.74,115.11,1996-1997,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,100.88,93.16,7.72,90.64,110.74,102.37,8.36,0.51,0.49,0.557,0.534,57,25,50.08,116.87,100.42,1996-1997,REG,82,,,,,,,,,,,,,,
Toronto Raptors,95.48,98.6,-3.12,91.01,104.11,107.7,-3.59,0.481,0.504,0.521,0.547,30,52,50.03,104.79,112.34,1996-1997,REG,82,,,,,,,,,,,,,,
Utah Jazz,103.1,94.31,8.79,90.03,113.64,103.77,9.87,0.531,0.48,0.581,0.534,64,18,51.9,125.09,98.02,1996-1997,REG,82,,,,,,,,,,,,,,
Vancouver Grizzlies,89.18,99.42,-10.23,88.78,99.95,111.46,-11.51,0.471,0.51,0.507,0.548,14,68,46.67,98.89,118.54,1996-1997,REG,82,,,,,,,,,,,,,,
Washington Wizards,99.35,97.73,1.62,92.34,106.65,104.61,2.04,0.505,0.491,0.54,0.533,44,38,50.54,113.49,105.07,1996-1997,REG,82,,,,,,,,,,,,,,
Atlanta Hawks,89,91.9,-2.9,81.64,105.08,108.76,-3.68,0.485,0.484,0.541,0.517,4,6,50.83,92.4,99.8,1996-1997,POFF,10,,,,,,,,,,,,,,
Charlotte Hornets,95.67,104.33,-8.67,85.23,109.96,119.01,-9.05,0.492,0.629,0.535,0.642,0,3,50.92,100,125,1996-1997,POFF,3,,,,,,,,,,,,,,
Chicago Bulls,92.53,86.95,5.58,82.57,107.46,101.16,6.29,0.47,0.469,0.512,0.523,15,4,52.91,106.42,88.11,1996-1997,POFF,19,,,,,,,,,,,,,,
Detroit Pistons,85.6,87.6,-2,79.23,104.14,105.8,-1.66,0.471,0.496,0.513,0.551,2,3,43.21,84.2,97.6,1996-1997,POFF,5,,,,,,,,,,,,,,
Houston Rockets,101.31,99.5,1.81,85.31,113.44,110.63,2.8,0.516,0.483,0.566,0.536,9,7,50.73,114.81,113.25,1996-1997,POFF,16,,,,,,,,,,,,,,
Los Angeles Clippers,92.33,105,-12.67,84.65,106.13,120.23,-14.1,0.476,0.552,0.527,0.611,0,3,43.29,91.67,130.67,1996-1997,POFF,3,,,,,,,,,,,,,,
Los Angeles Lakers,95.22,94.11,1.11,83.5,108.76,107.08,1.68,0.481,0.468,0.544,0.534,4,5,49.44,105.89,103.67,1996-1997,POFF,9,,,,,,,,,,,,,,
Miami Heat,85.94,85.71,0.24,82.79,99.66,99.39,0.27,0.467,0.442,0.512,0.497,8,9,49.61,89.82,94.59,1996-1997,POFF,17,,,,,,,,,,,,,,
Minnesota Timberwolves,99.67,111,-11.33,86.34,111.57,125.19,-13.62,0.487,0.574,0.516,0.615,0,3,46.59,112,134.67,1996-1997,POFF,3,,,,,,,,,,,,,,
New York Knicks,91.2,89.5,1.7,84.99,103.64,102.4,1.23,0.504,0.474,0.548,0.52,6,4,50.19,104.4,92.6,1996-1997,POFF,10,,,,,,,,,,,,,,
