Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Atlanta Hawks,107.79,101.55,9.14,6.72,14.16,14.48,32.59,30.82,21.59,23.07,9.72,8.38,5.92,4.6,16.35,16.73,22.06,24.21,1996-1997,REG,82
Boston Celtics,103.67,111.49,5.87,6.21,13.75,12.66,27.5,33.1,22.52,26.84,10.19,9.08,3.96,7.02,16.27,17.66,24.07,23.02,1996-1997,REG,82
Charlotte Hornets,110.43,108.06,8.05,6.62,12.39,14.63,31.3,30.64,27.53,24.22,8.13,7.28,4.75,4.55,15.69,14.93,23.18,24.19,1996-1997,REG,82
Chicago Bulls,113.79,101.69,7.04,6.33,16.62,14.61,33.11,29.61,28.82,21.74,9.65,8.38,4.47,3.84,14.46,16.75,21.75,23.26,1996-1997,REG,82
Cleveland Cavaliers,104.47,102.08,7.04,6.67,13.24,12.28,31.45,31.78,24.96,23.94,9.57,8,4.59,5.09,16.3,18.59,27.41,25.38,1996-1997,REG,82
Dallas Mavericks,100.6,107.83,5.81,7.3,14.07,14.89,30.65,32.93,22.51,24.32,8.86,9.32,4.79,5.91,16.98,16.75,24.35,23.1,1996-1997,REG,82
Denver Nuggets,104.01,110.77,8.25,6.28,12.89,14.1,31.8,31.91,24.5,23.96,6.54,9.42,6.32,5.88,16.82,13.08,23.14,22.39,1996-1997,REG,82
Detroit Pistons,110.28,103.89,8.31,7.52,12.25,13.73,32.73,32.25,22.19,25.57,9.04,6.95,4.04,4,14.05,16.4,23.58,25.41,1996-1997,REG,82
Golden State Warriors,106.58,111.51,6.28,7.57,14.17,14.19,29.46,29.61,23.76,28.13,7.98,10.74,4.68,5.15,17.65,16.24,23.31,24.58,1996-1997,REG,82
Houston Rockets,108.74,104.12,8.85,6.86,12.22,13.6,33.82,30.81,26.54,24.24,9.07,9.66,4.58,4.82,17.3,14.94,21.23,22.92,1996-1997,REG,82
Indiana Pacers,105.39,104.38,5.8,6.73,13.87,13.54,32.22,30.5,23.59,23.43,7.89,9.36,5.31,5.64,17.2,16.27,26.65,26.33,1996-1997,REG,82
