Team,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Win,Loss,Season,Season Type,Match Count
Atlanta Hawks,0.498,0.472,0.236,0.192,0.164,0.167,0.315,0.308,56,26,1996-1997,REG,82
Boston Celtics,0.474,0.539,0.237,0.243,0.163,0.177,0.294,0.315,15,67,1996-1997,REG,82
Charlotte Hornets,0.518,0.496,0.243,0.204,0.157,0.149,0.287,0.319,54,28,1996-1997,REG,82
Chicago Bulls,0.511,0.471,0.2,0.196,0.145,0.168,0.359,0.307,69,13,1996-1997,REG,82
Cleveland Cavaliers,0.493,0.482,0.215,0.282,0.163,0.186,0.294,0.281,42,40,1996-1997,REG,82
Dallas Mavericks,0.469,0.5,0.213,0.229,0.17,0.168,0.3,0.327,24,58,1996-1997,REG,82
Denver Nuggets,0.486,0.501,0.227,0.206,0.168,0.131,0.288,0.307,21,61,1996-1997,REG,82
Detroit Pistons,0.512,0.487,0.244,0.197,0.141,0.164,0.275,0.296,54,28,1996-1997,REG,82
Golden State Warriors,0.493,0.518,0.258,0.234,0.177,0.162,0.323,0.325,30,52,1996-1997,REG,82
Houston Rockets,0.52,0.481,0.232,0.19,0.173,0.149,0.284,0.286,57,25,1996-1997,REG,82
Indiana Pacers,0.49,0.48,0.27,0.258,0.172,0.163,0.313,0.296,39,43,1996-1997,REG,82
Los Angeles Clippers,0.482,0.499,0.227,0.269,0.166,0.173,0.308,0.319,36,46,1996-1997,REG,82
Los Angeles Lakers,0.496,0.478,0.243,0.231,0.155,0.171,0.316,0.315,56,26,1996-1997,REG,82
Miami Heat,0.507,0.465,0.233,0.248,0.171,0.174,0.292,0.294,61,21,1996-1997,REG,82
Milwaukee Bucks,0.496,0.501,0.248,0.253,0.168,0.157,0.297,0.301,33,49,1996-1997,REG,82
Minnesota Timberwolves,0.485,0.486,0.254,0.252,0.161,0.162,0.288,0.317,40,42,1996-1997,REG,82
New Jersey Nets,0.456,0.503,0.212,0.244,0.16,0.158,0.364,0.31,26,56,1996-1997,REG,82
New York Knicks,0.501,0.463,0.255,0.279,0.19,0.167,0.305,0.266,57,25,1996-1997,REG,82
Orlando Magic,0.481,0.495,0.227,0.211,0.163,0.172,0.309,0.327,45,37,1996-1997,REG,82
Philadelphia 76ers,0.47,0.51,0.259,0.222,0.174,0.157,0.341,0.335,22,60,1996-1997,REG,82
Phoenix Suns,0.508,0.507,0.241,0.215,0.15,0.163,0.271,0.306,40,42,1996-1997,REG,82
Portland Trailblazers,0.503,0.471,0.25,0.268,0.174,0.158,0.325,0.276,49,33,1996-1997,REG,82
Sacramento Kings,0.485,0.495,0.226,0.264,0.169,0.162,0.32,0.315,34,48,1996-1997,REG,82
San Antonio Spurs,0.472,0.514,0.217,0.236,0.164,0.157,0.324,0.33,20,62,1996-1997,REG,82
Seattle SuperSonics,0.51,0.49,0.269,0.242,0.161,0.195,0.309,0.309,57,25,1996-1997,REG,82
Toronto Raptors,0.481,0.504,0.218,0.258,0.171,0.173,0.326,0.314,30,52,1996-1997,REG,82
Utah Jazz,0.531,0.48,0.299,0.29,0.164,0.172,0.297,0.284,64,18,1996-1997,REG,82
Vancouver Grizzlies,0.471,0.51,0.191,0.224,0.168,0.165,0.297,0.359,14,68,1996-1997,REG,82
Washington Wizards,0.505,0.491,0.21,0.226,0.165,0.169,0.302,0.297,44,38,1996-1997,REG,82
Atlanta Hawks,0.485,0.484,0.287,0.181,0.178,0.123,0.299,0.308,4,6,1996-1997,POFF,10
Charlotte Hornets,0.492,0.629,0.208,0.158,0.146,0.167,0.314,0.247,0,3,1996-1997,POFF,3
Chicago Bulls,0.47,0.469,0.213,0.287,0.139,0.181,0.349,0.275,15,4,1996-1997,POFF,19
Detroit Pistons,0.471,0.496,0.203,0.275,0.112,0.184,0.214,0.305,2,3,1996-1997,POFF,5
Houston Rockets,0.516,0.483,0.283,0.255,0.166,0.135,0.312,0.312,9,7,1996-1997,POFF,16
Los Angeles Clippers,0.476,0.552,0.28,0.389,0.13,0.149,0.24,0.324,0,3,1996-1997,POFF,3
Los Angeles Lakers,0.481,0.468,0.359,0.342,0.145,0.157,0.289,0.305,4,5,1996-1997,POFF,9
Miami Heat,0.467,0.442,0.257,0.256,0.181,0.156,0.272,0.288,8,9,1996-1997,POFF,17
Minnesota Timberwolves,0.487,0.574,0.15,0.294,0.097,0.158,0.296,0.308,0,3,1996-1997,POFF,3
New York Knicks,0.504,0.474,0.233,0.261,0.174,0.168,0.254,0.264,6,4,1996-1997,POFF,10
Orlando Magic,0.448,0.495,0.258,0.202,0.135,0.156,0.229,0.324,2,3,1996-1997,POFF,5
Phoenix Suns,0.478,0.516,0.257,0.267,0.163,0.144,0.235,0.315,2,3,1996-1997,POFF,5
Portland Trailblazers,0.479,0.496,0.271,0.399,0.168,0.142,0.296,0.308,1,3,1996-1997,POFF,4
Seattle SuperSonics,0.494,0.491,0.281,0.259,0.145,0.173,0.32,0.307,6,6,1996-1997,POFF,12
Utah Jazz,0.485,0.483,0.32,0.282,0.147,0.143,0.293,0.258,13,7,1996-1997,POFF,20
Washington Wizards,0.505,0.492,0.316,0.233,0.199,0.142,0.321,0.392,0,3,1996-1997,POFF,3
Atlanta Hawks,0.481,0.468,0.275,0.194,0.159,0.145,0.34,0.309,50,32,1997-1998,REG,82
Boston Celtics,0.464,0.504,0.206,0.343,0.166,0.21,0.328,0.332,36,46,1997-1998,REG,82
Charlotte Hornets,0.495,0.493,0.259,0.224,0.161,0.161,0.304,0.292,51,31,1997-1998,REG,82
Chicago Bulls,0.473,0.457,0.219,0.22,0.148,0.165,0.357,0.294,62,20,1997-1998,REG,82
Cleveland Cavaliers,0.478,0.46,0.266,0.264,0.183,0.186,0.3,0.289,47,35,1997-1998,REG,82
Dallas Mavericks,0.458,0.488,0.194,0.196,0.148,0.16,0.276,0.349,20,62,1997-1998,REG,82
Denver Nuggets,0.44,0.506,0.259,0.285,0.164,0.162,0.302,0.337,11,71,1997-1998,REG,82
Detroit Pistons,0.472,0.474,0.267,0.243,0.154,0.162,0.309,0.298,37,45,1997-1998,REG,82
Golden State Warriors,0.427,0.469,0.197,0.247,0.172,0.147,0.337,0.314,19,63,1997-1998,REG,82
Houston Rockets,0.496,0.499,0.251,0.208,0.166,0.151,0.298,0.307,41,41,1997-1998,REG,82
Indiana Pacers,0.502,0.453,0.262,0.236,0.152,0.162,0.279,0.322,58,24,1997-1998,REG,82
Los Angeles Clippers,0.477,0.498,0.221,0.243,0.164,0.148,0.296,0.339,17,65,1997-1998,REG,82
Los Angeles Lakers,0.519,0.467,0.285,0.245,0.159,0.157,0.316,0.313,61,21,1997-1998,REG,82
Miami Heat,0.494,0.452,0.243,0.257,0.162,0.16,0.315,0.304,55,27,1997-1998,REG,82
Milwaukee Bucks,0.475,0.485,0.26,0.282,0.177,0.172,0.314,0.31,36,46,1997-1998,REG,82
Minnesota Timberwolves,0.483,0.48,0.244,0.24,0.144,0.152,0.306,0.315,45,37,1997-1998,REG,82
New Jersey Nets,0.463,0.499,0.253,0.258,0.148,0.189,0.367,0.336,43,39,1997-1998,REG,82
New York Knicks,0.476,0.455,0.218,0.282,0.164,0.161,0.295,0.26,43,39,1997-1998,REG,82
Orlando Magic,0.452,0.478,0.24,0.202,0.17,0.166,0.342,0.331,41,41,1997-1998,REG,82
Philadelphia 76ers,0.462,0.481,0.271,0.256,0.172,0.169,0.325,0.327,31,51,1997-1998,REG,82
Phoenix Suns,0.5,0.471,0.217,0.227,0.157,0.171,0.297,0.3,56,26,1997-1998,REG,82
Portland Trailblazers,0.476,0.46,0.256,0.249,0.179,0.15,0.33,0.286,46,36,1997-1998,REG,82
Sacramento Kings,0.464,0.482,0.215,0.23,0.162,0.158,0.302,0.334,27,55,1997-1998,REG,82
San Antonio Spurs,0.493,0.437,0.241,0.218,0.173,0.135,0.306,0.278,56,26,1997-1998,REG,82
Seattle SuperSonics,0.521,0.478,0.236,0.223,0.151,0.177,0.287,0.339,61,21,1997-1998,REG,82
Toronto Raptors,0.463,0.508,0.217,0.235,0.172,0.171,0.321,0.372,16,66,1997-1998,REG,82
Utah Jazz,0.51,0.471,0.334,0.271,0.166,0.151,0.324,0.29,62,20,1997-1998,REG,82
Vancouver Grizzlies,0.482,0.507,0.242,0.24,0.177,0.145,0.314,0.331,19,63,1997-1998,REG,82
Washington Wizards,0.476,0.482,0.219,0.248,0.147,0.168,0.312,0.305,42,40,1997-1998,REG,82
Atlanta Hawks,0.495,0.511,0.209,0.19,0.146,0.148,0.288,0.216,1,3,1997-1998,POFF,4
Charlotte Hornets,0.479,0.48,0.178,0.222,0.153,0.138,0.238,0.308,4,5,1997-1998,POFF,9
Chicago Bulls,0.472,0.476,0.269,0.242,0.138,0.168,0.343,0.276,15,6,1997-1998,POFF,21
Cleveland Cavaliers,0.449,0.514,0.415,0.257,0.209,0.17,0.303,0.258,1,3,1997-1998,POFF,4
Houston Rockets,0.416,0.48,0.289,0.283,0.143,0.147,0.247,0.235,2,3,1997-1998,POFF,5
Indiana Pacers,0.499,0.467,0.321,0.296,0.161,0.168,0.257,0.326,10,6,1997-1998,POFF,16
Los Angeles Lakers,0.514,0.501,0.306,0.276,0.142,0.156,0.331,0.317,7,6,1997-1998,POFF,13
Miami Heat,0.483,0.465,0.29,0.321,0.151,0.157,0.211,0.281,2,3,1997-1998,POFF,5
Minnesota Timberwolves,0.462,0.512,0.206,0.23,0.15,0.148,0.315,0.307,2,3,1997-1998,POFF,5
New Jersey Nets,0.485,0.515,0.237,0.275,0.146,0.149,0.333,0.357,0,3,1997-1998,POFF,3
New York Knicks,0.472,0.481,0.256,0.319,0.171,0.152,0.269,0.23,4,6,1997-1998,POFF,10
Phoenix Suns,0.459,0.53,0.173,0.289,0.119,0.15,0.261,0.265,1,3,1997-1998,POFF,4
Portland Trailblazers,0.489,0.531,0.277,0.363,0.172,0.129,0.335,0.26,1,3,1997-1998,POFF,4
San Antonio Spurs,0.489,0.453,0.294,0.2,0.157,0.119,0.283,0.251,4,5,1997-1998,POFF,9
Seattle SuperSonics,0.497,0.516,0.222,0.233,0.141,0.154,0.323,0.357,4,6,1997-1998,POFF,10
Utah Jazz,0.477,0.441,0.258,0.282,0.158,0.146,0.256,0.289,13,7,1997-1998,POFF,20
Portland Trailblazers,0.473,0.445,0.253,0.233,0.164,0.166,0.318,0.282,35,15,1998-1999,REG,50
Phoenix Suns,0.481,0.485,0.231,0.216,0.144,0.172,0.284,0.302,27,23,1998-1999,REG,50
Philadelphia 76ers,0.439,0.454,0.276,0.249,0.172,0.189,0.342,0.302,28,22,1998-1999,REG,50
Orlando Magic,0.456,0.473,0.222,0.181,0.179,0.186,0.326,0.292,33,17,1998-1999,REG,50
Seattle SuperSonics,0.481,0.489,0.232,0.213,0.159,0.155,0.319,0.314,25,25,1998-1999,REG,50
New York Knicks,0.463,0.434,0.241,0.258,0.177,0.166,0.279,0.29,27,23,1998-1999,REG,50
Charlotte Hornets,0.485,0.461,0.278,0.24,0.166,0.159,0.244,0.305,26,24,1998-1999,REG,50
New Jersey Nets,0.434,0.481,0.231,0.238,0.153,0.169,0.311,0.303,16,34,1998-1999,REG,50
Minnesota Timberwolves,0.439,0.467,0.196,0.276,0.137,0.173,0.325,0.298,25,25,1998-1999,REG,50
Milwaukee Bucks,0.489,0.463,0.222,0.275,0.158,0.179,0.29,0.324,28,22,1998-1999,REG,50
Miami Heat,0.494,0.439,0.26,0.226,0.166,0.151,0.273,0.29,33,17,1998-1999,REG,50
Vancouver Grizzlies,0.447,0.492,0.263,0.261,0.178,0.167,0.309,0.331,8,42,1998-1999,REG,50
Los Angeles Lakers,0.498,0.468,0.261,0.267,0.161,0.149,0.305,0.298,31,19,1998-1999,REG,50
Los Angeles Clippers,0.454,0.503,0.22,0.279,0.167,0.168,0.306,0.331,9,41,1998-1999,REG,50
Indiana Pacers,0.486,0.46,0.253,0.236,0.138,0.142,0.287,0.301,33,17,1998-1999,REG,50
