Team,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Season,Season Type,Match Count
Atlanta Hawks,2,100,14288,17052,58,2,2,7,1,1996-1997,REG,82
Boston Celtics,1,128,16196,17064,40,2,1,1,1,1996-1997,REG,82
Charlotte Hornets,2,139,24042,16617,49,0,5,2,2,1996-1997,REG,82
Chicago Bulls,2,129,23865,20060,34,0,3,7,0,1996-1997,REG,82
Cleveland Cavaliers,1,98,16895,16455,56,2,5,1,2,1996-1997,REG,82
Dallas Mavericks,1,96,15102,15895,54,2,5,0,1,1996-1997,REG,82
Denver Nuggets,3,114,11254,16678,30,3,2,2,5,1996-1997,REG,82
Detroit Pistons,6,116,20014,17281,51,0,2,1,2,1996-1997,REG,82
Golden State Warriors,2,130,15167,16140,46,2,2,1,3,1996-1997,REG,82
Houston Rockets,2,145,16285,18414,48,5,5,3,1,1996-1997,REG,82
Indiana Pacers,5,123,15530,17331,44,2,3,1,3,1996-1997,REG,82
Los Angeles Clippers,1,118,9772,16398,41,0,2,2,4,1996-1997,REG,82
Los Angeles Lakers,2,108,17004,19015,51,4,5,4,0,1996-1997,REG,82
Miami Heat,2,103,15004,17565,52,1,4,5,1,1996-1997,REG,82
Milwaukee Bucks,1,127,15514,17321,45,3,2,0,2,1996-1997,REG,82
Minnesota Timberwolves,1,122,17018,16300,49,1,1,2,5,1996-1997,REG,82
New Jersey Nets,0,133,16357,17347,40,2,3,1,5,1996-1997,REG,82
New York Knicks,2,131,19763,18434,59,3,3,3,0,1996-1997,REG,82
Orlando Magic,2,118,17722,18304,43,1,2,1,6,1996-1997,REG,82
Philadelphia 76ers,2,111,15280,17625,34,1,1,3,6,1996-1997,REG,82
Phoenix Suns,0,130,19023,16504,48,3,5,2,1,1996-1997,REG,82
Portland Trailblazers,1,138,20800,15997,43,2,6,4,1,1996-1997,REG,82
Sacramento Kings,6,114,17317,15860,54,3,2,2,2,1996-1997,REG,82
San Antonio Spurs,0,87,17235,16558,46,1,2,2,8,1996-1997,REG,82
Seattle SuperSonics,1,118,17072,17359,58,3,6,7,2,1996-1997,REG,82
Toronto Raptors,1,120,18267,16560,43,1,4,1,4,1996-1997,REG,82
Utah Jazz,1,170,19791,16888,50,1,5,6,1,1996-1997,REG,82
Vancouver Grizzlies,1,111,16571,15221,44,1,0,2,6,1996-1997,REG,82
Washington Wizards,0,135,17089,16992,46,2,0,4,2,1996-1997,REG,82
Atlanta Hawks,1,16,16261,23000,5,0,0,0,0,1996-1997,POFF,10
Charlotte Hornets,0,2,24042,19763,1,0,0,0,0,1996-1997,POFF,3
Chicago Bulls,0,16,24467,17586,11,0,3,2,0,1996-1997,POFF,19
Detroit Pistons,0,9,20757,16184,4,0,0,0,0,1996-1997,POFF,5
Houston Rockets,0,29,16285,18565,10,2,0,0,1,1996-1997,POFF,16
Los Angeles Clippers,0,3,11747,19911,2,0,0,0,1,1996-1997,POFF,3
Los Angeles Lakers,0,21,17505,20562,5,0,2,0,1,1996-1997,POFF,9
Miami Heat,0,11,14937,20841,12,0,1,1,1,1996-1997,POFF,17
Minnesota Timberwolves,0,5,19006,16285,2,0,1,0,0,1996-1997,POFF,3
New York Knicks,0,12,19763,16687,7,0,3,0,0,1996-1997,POFF,10
Orlando Magic,1,9,16902,15200,3,0,0,0,1,1996-1997,POFF,5
Phoenix Suns,0,8,19023,17072,3,0,1,0,1,1996-1997,POFF,5
Portland Trailblazers,0,9,21538,17505,2,0,0,1,0,1996-1997,POFF,4
Seattle SuperSonics,0,15,17072,17198,6,0,1,2,0,1996-1997,POFF,12
Utah Jazz,0,20,19911,18805,13,0,0,1,1,1996-1997,POFF,20
Washington Wizards,0,10,18756,24195,1,0,0,0,0,1996-1997,POFF,3
Atlanta Hawks,0,123,17450,17047,42,3,1,7,2,1997-1998,REG,82
Boston Celtics,0,103,18132,17914,55,1,4,1,3,1997-1998,REG,82
Charlotte Hornets,0,111,23406,17009,34,2,3,1,5,1997-1998,REG,82
Chicago Bulls,0,137,23986,21970,32,2,2,6,0,1997-1998,REG,82
Cleveland Cavaliers,1,105,16942,16892,57,0,3,2,3,1997-1998,REG,82
Dallas Mavericks,0,100,13208,15792,40,2,1,0,3,1997-1998,REG,82
Denver Nuggets,1,129,11800,15724,54,2,6,0,4,1997-1998,REG,82
Detroit Pistons,1,126,19380,17557,40,0,4,3,2,1997-1998,REG,82
