name,year,salary,ast,blk,dreb,ft_p,oreb,per,pf,pts,stl,three_p,to,ts,two_p
a.c. green,1991,1750000,71,23,315,0.738,201,13.8,117,750,59,0.2,99,0.556,0.507
a.c. green,1992,1750000,117,36,456,0.744,306,16.7,141,1116,91,0.214,111,0.556,0.495
a.c. green,1993,1885000,116,39,424,0.739,287,16.3,149,1051,88,0.348,116,0.603,0.55
a.c. green,1994,6472600,137,38,478,0.735,275,17.0,142,1204,70,0.229,100,0.555,0.513
a.c. green,1995,6473000,127,31,475,0.732,194,14.2,146,916,55,0.339,114,0.596,0.547
a.c. green,1996,4851000,72,23,388,0.709,166,12.9,141,612,45,0.269,79,0.558,0.513
a.c. green,1999,1700000,25,8,146,0.577,82,12.5,69,246,28,0.0,19,0.441,0.435
a.c. green,2000,2250000,80,18,326,0.695,160,11.2,127,413,53,0.25,53,0.482,0.449
aaron brooks,2009,1118520,238,8,124,0.866,33,12.9,152,894,46,0.366,125,0.521,0.428
aaron brooks,2013,1027424,6,3,1,0.0,1,5.6,5,10,1,0.286,4,0.385,0.333
aaron brooks,2016,2700000,180,10,80,0.766,21,11.8,132,491,30,0.357,82,0.494,0.43
aaron brooks,2017,2116955,125,9,51,0.8,18,9.5,93,322,25,0.375,66,0.507,0.424
aaron gray,2008,711517,41,16,98,0.566,70,13.9,117,262,21,0.0,57,0.529,0.507
aaron gray,2009,1000497,46,18,136,0.576,84,11.5,135,196,14,0.0,40,0.508,0.488
aaron gray,2010,1028840,20,11,50,0.857,40,18.4,44,86,9,0.0,17,0.612,0.557
aaron gray,2011,2500000,16,12,112,0.5,59,11.0,96,129,11,0.0,32,0.566,0.566
aaron gray,2012,2575000,27,17,198,0.532,83,11.1,127,191,22,0.0,51,0.526,0.516
aaron gray,2013,2690875,33,5,85,0.523,48,9.0,85,119,7,0.0,36,0.544,0.533
aaron gray,2014,1227985,19,8,64,0.556,39,7.9,57,60,10,0.0,27,0.455,0.439
aaron mckie,1995,845000,89,16,94,0.685,35,13.3,97,293,36,0.393,39,0.5,0.451
aaron mckie,1996,1040000,205,21,218,0.764,86,13.4,205,864,92,0.325,135,0.534,0.494
aaron mckie,1997,1235000,77,7,101,0.836,27,14.8,69,263,43,0.375,42,0.558,0.491
aaron mckie,1998,1430000,137,12,129,0.688,34,8.1,117,223,78,0.196,52,0.383,0.377
aaron mckie,1999,1624000,100,3,113,0.71,27,11.4,90,240,63,0.194,57,0.454,0.432
aaron mckie,2005,2500000,103,17,152,0.625,20,8.4,116,152,48,0.323,31,0.51,0.513
aaron mckie,2006,2500000,11,0,17,0.5,3,6.1,7,7,5,0.0,2,0.272,0.3
aaron mckie,2006,2500000,11,0,17,0.5,3,6.1,7,7,5,0.0,2,0.272,0.3
aaron mckie,2007,750000,13,0,17,0.0,1,7.5,14,22,4,0.0,8,0.647,0.647
aaron mckie,2007,750000,13,0,17,0.0,1,7.5,14,22,4,0.0,8,0.647,0.647
aaron williams,1997,500000,15,26,78,0.673,60,16.4,72,197,16,0.0,28,0.599,0.577
aaron williams,1998,575000,14,38,99,0.776,48,13.4,119,296,19,0.0,50,0.575,0.525
aaron williams,1999,1100000,22,24,74,0.73,54,15.2,75,158,14,0.0,30,0.508,0.426
aaron williams,2000,2250000,58,92,250,0.726,159,17.7,234,616,41,0.0,80,0.572,0.526
aaron williams,2001,2475000,88,113,379,0.787,211,15.1,319,838,59,0.0,132,0.533,0.458
aaron williams,2002,2700000,77,76,224,0.699,115,15.2,212,592,29,0.0,79,0.568,0.529
aaron williams,2003,2925000,88,57,194,0.785,137,11.9,206,500,27,0.0,85,0.504,0.454
aaron williams,2004,3790257,81,46,193,0.677,101,13.2,187,450,34,0.333,89,0.549,0.504
aaron williams,2005,3375000,2,3,19,0.857,10,3.3,45,36,1,0.0,6,0.461,0.417
aaron williams,2006,1750000,16,18,107,0.673,59,12.2,110,197,13,0.0,25,0.548,0.516
aaron williams,2007,1890000,7,14,58,0.818,27,9.4,56,76,7,0.0,18,0.606,0.558
adam keefe,1993,1200000,80,16,261,0.7,171,13.6,195,542,57,0.0,100,0.564,0.501
adam keefe,1994,1500000,34,9,124,0.73,77,12.0,80,273,20,0.0,60,0.521,0.451
adam keefe,1995,1650000,30,25,192,0.676,135,15.1,141,461,36,0.0,62,0.616,0.577
adam keefe,1996,1950000,64,41,279,0.692,176,13.8,174,499,51,0.0,88,0.574,0.526
adam keefe,1997,2300000,32,13,141,0.689,75,11.7,97,235,30,0.0,45,0.572,0.516
adam keefe,1998,2650000,89,24,259,0.81,179,14.5,172,620,52,0.0,71,0.605,0.54
adonal foyle,1998,1701000,14,52,111,0.435,73,9.2,94,165,13,0.0,50,0.418,0.408
adonal foyle,1999,1922520,18,43,115,0.49,79,12.3,90,129,15,0.0,31,0.45,0.43
adonal foyle,2000,3580000,42,136,250,0.378,174,12.3,218,420,26,0.0,71,0.5,0.508
adonal foyle,2001,4400000,48,156,249,0.441,156,12.4,136,342,31,0.0,79,0.422,0.416
adonal foyle,2002,4400000,41,168,234,0.398,150,12.5,179,379,36,0.0,76,0.445,0.444
adonal foyle,2003,4400000,37,205,314,0.673,176,15.3,214,440,40,0.0,73,0.563,0.538
adonal foyle,2004,6500000,17,46,113,0.543,54,13.0,68,137,6,0.0,21,0.471,0.454
adonal foyle,2005,7312500,56,159,264,0.556,165,12.7,201,352,26,0.0,58,0.514,0.502
adonal foyle,2006,8125000,33,125,281,0.612,143,10.3,215,345,44,0.0,80,0.524,0.507
adonal foyle,2007,1219590,19,50,75,0.44,51,13.7,61,107,11,0.0,23,0.557,0.565
adonal foyle,2008,1262275,18,45,137,0.471,71,9.9,94,156,16,0.0,32,0.464,0.458
adonal foyle,2008,1262275,18,45,137,0.471,71,9.9,94,156,16,0.0,32,0.464,0.458
adonal foyle,2009,1306455,0,0,0,0.0,0,-6.3,1,0,0,0.0,0,0.0,0.0
adrian griffin,2000,498500,177,15,244,0.753,128,12.6,222,485,116,0.281,93,0.503,0.447
adrian griffin,2001,565850,27,5,60,0.75,27,10.5,45,93,18,0.346,18,0.432,0.338
adrian griffin,2002,637435,106,12,161,0.837,68,14.2,142,415,75,0.296,42,0.545,0.534
adrian griffin,2003,751179,105,6,176,0.844,88,11.5,157,325,77,0.25,47,0.463,0.447
adrian griffin,2006,1475000,89,9,152,0.774,75,11.6,113,237,51,0.0,39,0.521,0.485
adrian griffin,2007,1593000,59,4,69,0.789,40,10.7,78,137,32,0.0,38,0.499,0.496
adrian griffin,2008,1711000,5,1,13,1.0,9,9.3,8,14,5,0.0,5,0.415,0.375
al harrington,2001,1436982,130,18,262,0.656,119,10.2,223,586,63,0.143,148,0.479,0.448
al harrington,2002,5060000,54,21,180,0.799,96,14.3,166,576,41,0.333,78,0.526,0.476
al harrington,2003,5692500,125,33,352,0.77,159,12.4,280,1002,71,0.283,163,0.493,0.442
al harrington,2004,6325000,131,22,345,0.734,163,14.9,250,1048,80,0.273,163,0.514,0.481
al harrington,2005,6957500,208,16,316,0.672,145,14.4,249,1158,85,0.216,204,0.508,0.479
al harrington,2006,7625000,238,14,391,0.694,132,16.0,301,1411,85,0.346,195,0.513,0.471
al harrington,2007,8425625,98,14,190,0.681,80,16.1,153,713,40,0.417,78,0.542,0.473
al harrington,2008,9226250,132,16,332,0.774,107,15.6,266,1102,74,0.375,90,0.547,0.482
al harrington,2009,10026875,92,22,338,0.804,89,16.4,213,1407,81,0.362,154,0.555,0.499
al harrington,2010,5765000,110,26,317,0.757,88,16.8,209,1276,62,0.342,132,0.546,0.496
al harrington,2011,6226200,101,10,256,0.735,76,12.3,202,765,39,0.357,106,0.527,0.473
al harrington,2012,6687400,88,12,318,0.676,72,15.3,181,910,58,0.333,112,0.535,0.519
al harrington,2013,1399507,10,1,21,0.75,6,10.3,18,51,4,0.267,7,0.434,0.444
al harrington,2014,3805000,28,0,65,0.771,15,9.7,72,225,14,0.34,34,0.506,0.449
al harrington,2014,3805000,28,0,65,0.771,15,9.7,72,225,14,0.34,34,0.506,0.449
al horford,2008,4026720,124,76,537,0.731,248,14.7,267,821,60,0.0,137,0.539,0.502
al horford,2009,4307640,163,95,479,0.727,145,17.0,190,773,53,0.0,103,0.565,0.526
al horford,2010,5444857,189,91,563,0.789,236,19.4,225,1148,59,1.0,122,0.594,0.551
al horford,2011,12000000,266,80,536,0.798,182,20.7,193,1178,59,0.5,119,0.587,0.557
